iterasi,method,best,avg
0,GA,19635,21357.7
1,GA,18855,20210.4
2,GA,18300,19673.8
3,GA,18220,18974.4
4,GA,18140,18461.1
5,GA,17980,18206.7
6,GA,17960,18088.8
7,GA,17725,17989.6
8,GA,17645,17861.2
9,GA,17555,17729.8
10,GA,17465,17642.1
11,GA,17375,17524.1
12,GA,17285,17419.2
13,GA,17205,17342.6
14,GA,17045,17264.8
15,GA,16975,17146.2
16,GA,16815,17038.8
17,GA,16725,16911.0
18,GA,16635,16810.6
19,GA,16545,16686.1
20,GA,16380,16588.4
21,GA,16265,16490.1
22,GA,16195,16394.7
23,GA,16025,16277.6
24,GA,15935,16138.2
25,GA,15935,16017.3
26,GA,15845,15958.5
27,GA,15765,15896.2
28,GA,15595,15800.5
29,GA,15505,15706.4
30,GA,15415,15584.5
31,GA,15325,15507.3
32,GA,15250,15400.4
33,GA,15150,15321.1
34,GA,15050,15238.5
35,GA,14950,15115.2
36,GA,14780,15021.0
37,GA,14700,14909.8
38,GA,14690,14793.6
39,GA,14610,14717.4
40,GA,14500,14682.9
41,GA,14490,14594.1
42,GA,14400,14514.7
43,GA,14310,14460.6
44,GA,14230,14359.3
45,GA,14150,14293.8
46,GA,14070,14224.0
47,GA,13970,14154.0
48,GA,13895,14063.5
49,GA,13795,13967.1
50,GA,13775,13877.8
51,GA,13685,13817.1
52,GA,13595,13724.9
53,GA,13505,13632.7
54,GA,13415,13530.1
55,GA,13325,13467.2
56,GA,13315,13412.0
57,GA,13150,13337.9
58,GA,13130,13247.5
59,GA,13070,13179.5
60,GA,13060,13147.8
61,GA,13030,13099.6
62,GA,12950,13053.8
63,GA,12830,13005.0
64,GA,12820,12939.2
65,GA,12740,12853.8
66,GA,12680,12815.5
67,GA,12560,12764.3
68,GA,12450,12663.5
69,GA,12450,12556.8
70,GA,12350,12473.9
71,GA,12350,12436.3
72,GA,12280,12379.0
73,GA,12200,12349.1
74,GA,12185,12282.6
75,GA,12100,12207.1
76,GA,12090,12172.7
77,GA,12020,12115.8
78,GA,11990,12101.3
79,GA,11940,12055.9
80,GA,11890,12007.6
81,GA,11820,11927.3
82,GA,11740,11905.4
83,GA,11740,11856.7
84,GA,11610,11807.0
85,GA,11570,11705.2
86,GA,11440,11640.2
87,GA,11430,11554.8
88,GA,11350,11480.1
89,GA,11300,11425.9
90,GA,11100,11357.7
91,GA,11000,11238.6
92,GA,10930,11089.4
93,GA,10810,11026.7
94,GA,10730,10928.3
95,GA,10730,10832.0
96,GA,10730,10791.3
97,GA,10730,10757.6
98,GA,10730,10753.0
99,GA,10630,10752.8
100,GA,10550,10716.2
101,GA,10470,10630.1
102,GA,10470,10553.7
103,GA,10470,10494.4
104,GA,10390,10494.2
105,GA,10380,10464.1
106,GA,10300,10413.3
107,GA,10210,10337.0
108,GA,10120,10264.4
109,GA,10040,10173.0
110,GA,10030,10102.6
111,GA,9950,10055.8
112,GA,9940,10032.5
113,GA,9860,9970.6
114,GA,9860,9927.8
115,GA,9780,9879.6
116,GA,9690,9847.8
117,GA,9580,9782.4
118,GA,9570,9688.6
119,GA,9490,9613.7
120,GA,9490,9566.4
121,GA,9390,9523.7
122,GA,9390,9487.8
123,GA,9390,9416.4
124,GA,9390,9421.0
125,GA,9390,9418.1
126,GA,9390,9410.3
127,GA,9390,9416.4
128,GA,9380,9411.8
129,GA,9380,9407.2
130,GA,9370,9404.3
131,GA,9300,9413.7
132,GA,9290,9389.5
133,GA,9210,9336.9
134,GA,9210,9289.5
135,GA,9120,9238.3
136,GA,9120,9203.8
137,GA,9100,9144.4
138,GA,9100,9142.6
139,GA,9090,9133.1
140,GA,9090,9115.2
141,GA,9090,9116.3
142,GA,9090,9111.3
143,GA,9070,9120.5
144,GA,9070,9123.2
145,GA,9060,9092.8
146,GA,8970,9086.8
147,GA,8970,9070.1
148,GA,8970,9003.7
149,GA,8970,8987.5
150,GA,8900,8986.8
151,GA,8900,8997.2
152,GA,8900,8948.0
153,GA,8890,8934.8
154,GA,8890,8931.1
155,GA,8810,8916.6
156,GA,8730,8901.2
157,GA,8730,8873.7
158,GA,8610,8813.4
159,GA,8350,8707.4
160,GA,8290,8535.4
161,GA,8185,8439.1
162,GA,8185,8374.5
163,GA,8085,8288.0
164,GA,7925,8237.8
165,GA,7925,8105.2
166,GA,7805,8001.9
167,GA,7725,7931.8
168,GA,7605,7843.9
169,GA,7485,7763.3
170,GA,7405,7632.1
171,GA,7305,7529.1
172,GA,7245,7475.1
173,GA,7245,7397.5
174,GA,7145,7332.5
175,GA,7120,7263.0
176,GA,7045,7214.2
177,GA,6965,7145.8
178,GA,6940,7076.2
179,GA,6845,7029.4
180,GA,6545,6981.2
181,GA,6540,6836.0
182,GA,6530,6648.6
183,GA,6430,6607.7
184,GA,6360,6559.3
185,GA,6350,6506.5
186,GA,6245,6445.5
187,GA,6145,6368.1
188,GA,6045,6279.9
189,GA,6045,6175.6
190,GA,5960,6127.4
191,GA,5865,6090.6
192,GA,5775,5994.6
193,GA,5680,5907.6
194,GA,5680,5844.3
195,GA,5675,5810.0
196,GA,5675,5763.9
197,GA,5575,5756.2
198,GA,5525,5706.7
199,GA,5445,5647.1
200,GA,5445,5587.3
201,GA,5420,5540.8
202,GA,5340,5508.5
203,GA,5335,5472.2
204,GA,5255,5429.2
205,GA,5255,5414.3
206,GA,5240,5376.2
207,GA,5140,5333.5
208,GA,5060,5295.4
209,GA,5060,5198.4
210,GA,5060,5165.7
211,GA,5060,5129.5
212,GA,5040,5116.1
213,GA,4940,5121.1
214,GA,4940,5091.5
215,GA,4940,5080.4
216,GA,4935,5051.3
217,GA,4855,5007.7
218,GA,4855,4976.8
219,GA,4715,4953.7
220,GA,4615,4836.5
221,GA,4515,4727.7
222,GA,4435,4627.0
223,GA,4430,4596.9
224,GA,4335,4540.5
225,GA,4335,4472.3
226,GA,4255,4410.6
227,GA,4255,4394.5
228,GA,4255,4354.7
229,GA,4155,4328.8
230,GA,4150,4269.4
231,GA,4070,4248.4
232,GA,3950,4199.1
233,GA,3950,4129.4
234,GA,3945,4041.6
235,GA,3845,4005.2
236,GA,3835,3999.5
237,GA,3760,3927.3
238,GA,3735,3898.8
239,GA,3735,3870.3
240,GA,3735,3841.8
241,GA,3735,3836.5
242,GA,3635,3817.4
243,GA,3635,3768.3
244,GA,3635,3734.1
245,GA,3555,3717.1
246,GA,3555,3718.8
247,GA,3530,3689.1
248,GA,3530,3668.9
249,GA,3450,3638.7
250,GA,3450,3566.7
251,GA,3450,3556.8
252,GA,3445,3530.2
253,GA,3445,3536.0
254,GA,3445,3519.2
255,GA,3440,3543.6
256,GA,3425,3537.6
257,GA,3405,3493.5
258,GA,3405,3502.2
259,GA,3325,3493.8
260,GA,3245,3458.9
261,GA,3245,3413.3
262,GA,3240,3390.3
263,GA,3240,3350.6
264,GA,3235,3341.5
265,GA,3235,3304.2
266,GA,3230,3316.4
267,GA,3230,3319.0
268,GA,3155,3288.1
269,GA,3155,3285.6
270,GA,3155,3259.0
271,GA,3070,3228.2
272,GA,3055,3218.7
273,GA,3055,3194.5
274,GA,2950,3119.0
275,GA,2950,3118.7
276,GA,2870,3036.5
277,GA,2850,3035.2
278,GA,2770,2987.8
279,GA,2765,2904.0
280,GA,2765,2867.4
281,GA,2745,2842.3
282,GA,2740,2838.3
283,GA,2735,2837.1
284,GA,2735,2815.8
285,GA,2735,2810.2
286,GA,2730,2830.2
287,GA,2655,2807.4
288,GA,2650,2796.5
289,GA,2650,2755.3
290,GA,2650,2718.3
291,GA,2645,2726.2
292,GA,2645,2728.7
293,GA,2640,2722.5
294,GA,2640,2713.4
295,GA,2560,2734.9
296,GA,2560,2713.9
297,GA,2560,2655.0
298,GA,2560,2629.3
299,GA,2560,2626.9
300,GA,2560,2627.4
301,GA,2560,2651.4
302,GA,2560,2653.0
303,GA,2560,2653.0
304,GA,2560,2651.4
305,GA,2540,2645.8
306,GA,2540,2654.5
307,GA,2540,2636.6
308,GA,2520,2616.1
309,GA,2520,2609.3
