iterasi,method,best,avg
0,GA,19430,21087.3
1,GA,18780,20180.0
2,GA,18215,19614.4
3,GA,17775,18766.9
4,GA,17665,18149.8
5,GA,17575,17787.7
6,GA,17525,17644.9
7,GA,17405,17582.7
8,GA,17405,17492.0
9,GA,17315,17424.2
10,GA,17175,17388.0
11,GA,17065,17249.4
12,GA,16985,17133.3
13,GA,16895,17034.6
14,GA,16810,16989.3
15,GA,16740,16904.9
16,GA,16655,16821.1
17,GA,16575,16744.5
18,GA,16415,16627.6
19,GA,16335,16502.3
20,GA,16255,16404.9
21,GA,16245,16336.3
22,GA,16165,16272.6
23,GA,16085,16237.0
24,GA,15935,16151.6
25,GA,15935,16065.6
26,GA,15845,15978.6
27,GA,15755,15881.1
28,GA,15615,15794.2
29,GA,15440,15699.1
30,GA,15440,15591.0
31,GA,15340,15474.4
32,GA,15310,15430.0
33,GA,15260,15362.8
34,GA,15160,15296.3
35,GA,15080,15231.8
36,GA,15010,15134.0
37,GA,14880,15058.8
38,GA,14790,14970.0
39,GA,14680,14896.1
40,GA,14680,14822.7
41,GA,14560,14721.2
42,GA,14490,14656.2
43,GA,14390,14564.4
44,GA,14300,14484.6
45,GA,14250,14371.8
46,GA,14140,14305.1
47,GA,14060,14221.8
48,GA,14030,14156.4
49,GA,13910,14087.4
50,GA,13830,13991.4
51,GA,13810,13928.9
52,GA,13730,13851.8
53,GA,13650,13768.0
54,GA,13630,13711.2
55,GA,13530,13666.7
56,GA,13440,13601.0
57,GA,13280,13512.5
58,GA,13190,13371.3
59,GA,13190,13288.0
60,GA,13110,13223.1
61,GA,13110,13201.8
62,GA,13020,13153.3
63,GA,13020,13107.2
64,GA,12920,13040.0
65,GA,12920,13008.2
66,GA,12830,12939.3
67,GA,12830,12912.8
68,GA,12770,12865.3
69,GA,12740,12841.8
70,GA,12670,12775.4
71,GA,12580,12714.0
72,GA,12490,12630.7
73,GA,12480,12587.7
74,GA,12430,12515.9
75,GA,12430,12500.9
76,GA,12420,12453.4
77,GA,12330,12453.0
78,GA,12330,12428.2
79,GA,12280,12357.6
80,GA,12150,12327.0
81,GA,12150,12234.3
82,GA,12070,12177.4
83,GA,12070,12160.2
84,GA,12070,12128.3
85,GA,11970,12092.4
86,GA,11970,12064.6
87,GA,11870,12006.2
88,GA,11790,11949.4
89,GA,11710,11854.3
90,GA,11630,11769.0
91,GA,11610,11702.2
92,GA,11530,11642.6
93,GA,11530,11606.6
94,GA,11510,11558.5
95,GA,11510,11546.4
96,GA,11500,11546.0
97,GA,11500,11528.9
98,GA,11500,11518.5
99,GA,11430,11520.6
100,GA,11360,11511.6
101,GA,11360,11451.6
102,GA,11360,11397.6
103,GA,11290,11387.2
104,GA,11290,11354.6
105,GA,11210,11318.1
106,GA,11210,11270.0
107,GA,11210,11229.4
108,GA,11210,11234.4
109,GA,11210,11228.7
110,GA,11210,11245.8
111,GA,11210,11231.4
112,GA,11210,11238.5
113,GA,11210,11238.2
114,GA,11210,11234.2
115,GA,11110,11235.7
116,GA,11100,11204.4
117,GA,11100,11140.8
118,GA,11100,11135.4
119,GA,11100,11136.7
120,GA,11010,11140.8
121,GA,11010,11116.8
122,GA,10980,11091.2
123,GA,10980,11030.7
124,GA,10980,11006.3
125,GA,10870,10987.0
126,GA,10870,10962.2
127,GA,10810,10900.3
128,GA,10730,10883.6
129,GA,10720,10838.6
130,GA,10720,10772.1
131,GA,10710,10746.0
132,GA,10620,10744.9
133,GA,10610,10714.0
134,GA,10610,10647.4
135,GA,10610,10651.0
136,GA,10590,10631.1
137,GA,10590,10628.6
138,GA,10590,10629.0
139,GA,10560,10605.2
140,GA,10490,10598.8
141,GA,10460,10559.2
142,GA,10460,10494.8
143,GA,10380,10483.0
144,GA,10380,10470.7
145,GA,10380,10433.8
146,GA,10380,10407.1
147,GA,10300,10398.0
148,GA,10300,10384.2
149,GA,10280,10336.7
150,GA,10280,10329.5
151,GA,10280,10313.3
152,GA,10260,10305.8
153,GA,10200,10292.6
154,GA,10200,10274.0
155,GA,10200,10234.2
156,GA,10200,10222.7
157,GA,10200,10216.3
158,GA,10200,10212.8
159,GA,10200,10221.7
160,GA,10200,10226.0
161,GA,10190,10219.9
162,GA,10090,10224.5
163,GA,10090,10180.1
164,GA,10070,10114.4
165,GA,10070,10121.6
166,GA,10030,10102.4
167,GA,10030,10075.1
168,GA,10010,10066.3
169,GA,10010,10051.1
170,GA,10010,10042.1
171,GA,10010,10020.4
172,GA,10010,10032.8
173,GA,9990,10034.6
174,GA,9990,10025.1
175,GA,9990,10020.2
176,GA,9990,10023.4
177,GA,9990,10011.7
178,GA,9990,10005.6
179,GA,9990,10023.4
180,GA,9990,10018.0
181,GA,9990,10003.7
182,GA,9990,10009.9
183,GA,9990,10015.2
184,GA,9990,10014.6
185,GA,9990,10006.0
186,GA,9990,10014.2
187,GA,9970,10011.8
188,GA,9970,10008.6
189,GA,9970,10001.9
190,GA,9970,9996.6
191,GA,9950,9997.8
192,GA,9950,9997.8
193,GA,9950,9988.7
194,GA,9870,9980.4
195,GA,9870,9952.0
196,GA,9870,9913.2
197,GA,9870,9884.6
198,GA,9870,9901.5
199,GA,9870,9899.2
200,GA,9870,9889.0
201,GA,9870,9899.8
202,GA,9870,9903.0
203,GA,9870,9896.1
204,GA,9870,9896.5
205,GA,9870,9897.3
206,GA,9870,9896.5
207,GA,9870,9900.8
208,GA,9870,9879.9
209,GA,9870,9909.2
210,GA,9870,9892.8
211,GA,9860,9897.4
212,GA,9860,9891.5
213,GA,9840,9896.1
214,GA,9840,9877.9
215,GA,9840,9885.9
216,GA,9840,9852.2
217,GA,9840,9852.6
218,GA,9840,9867.3
219,GA,9840,9863.4
220,GA,9830,9861.6
221,GA,9830,9852.0
222,GA,9830,9849.4
223,GA,9830,9853.3
224,GA,9830,9869.1
225,GA,9830,9857.0
226,GA,9830,9865.8
227,GA,9830,9854.2
228,GA,9830,9862.1
229,GA,9830,9843.2
230,GA,9815,9872.1
231,GA,9815,9854.7
232,GA,9795,9834.1
233,GA,9785,9831.9
234,GA,9785,9826.7
235,GA,9785,9820.1
236,GA,9785,9801.4
237,GA,9785,9812.4
238,GA,9785,9802.2
239,GA,9785,9816.2
240,GA,9785,9813.6
241,GA,9785,9813.0
242,GA,9785,9811.5
243,GA,9785,9806.5
244,GA,9685,9807.0
245,GA,9685,9799.2
246,GA,9685,9738.9
247,GA,9665,9724.0
248,GA,9665,9703.9
249,GA,9665,9706.3
250,GA,9665,9696.2
251,GA,9665,9693.3
252,GA,9665,9686.9
253,GA,9665,9688.3
254,GA,9665,9694.5
255,GA,9665,9695.7
256,GA,9665,9702.6
257,GA,9655,9696.9
258,GA,9655,9687.0
259,GA,9555,9686.1
260,GA,9555,9653.9
261,GA,9555,9601.5
262,GA,9555,9572.9
263,GA,9555,9587.8
264,GA,9555,9582.6
265,GA,9555,9585.6
266,GA,9555,9586.6
267,GA,9555,9586.3
268,GA,9555,9574.9
269,GA,9555,9586.6
270,GA,9555,9586.2
271,GA,9555,9582.9
272,GA,9555,9574.5
273,GA,9535,9591.4
274,GA,9525,9568.4
275,GA,9525,9568.0
276,GA,9525,9559.1
277,GA,9525,9555.8
278,GA,9525,9559.1
279,GA,9525,9550.2
280,GA,9525,9552.5
281,GA,9525,9550.1
282,GA,9525,9553.2
283,GA,9525,9555.1
284,GA,9445,9555.2
285,GA,9445,9534.9
286,GA,9445,9479.8
287,GA,9425,9462.0
288,GA,9425,9480.4
289,GA,9425,9451.2
290,GA,9425,9462.5
291,GA,9425,9447.0
292,GA,9425,9454.7
293,GA,9425,9452.0
294,GA,9425,9457.3
295,GA,9425,9440.9
296,GA,9415,9451.2
297,GA,9415,9447.7
298,GA,9415,9458.0
299,GA,9415,9446.4
300,GA,9415,9441.0
301,GA,9415,9441.7
302,GA,9415,9448.2
303,GA,9415,9433.2
304,GA,9415,9439.4
305,GA,9415,9448.5
306,GA,9415,9437.8
307,GA,9415,9433.2
308,GA,9415,9453.1
309,GA,9385,9441.8
310,GA,9385,9430.1
311,GA,9385,9426.7
312,GA,9385,9406.8
313,GA,9385,9417.0
314,GA,9385,9417.0
315,GA,9385,9411.4
316,GA,9385,9410.5
317,GA,9385,9409.5
318,GA,9385,9411.1
319,GA,9385,9419.2
320,GA,9365,9424.4
321,GA,9365,9405.2
322,GA,9365,9397.6
323,GA,9365,9379.8
324,GA,9345,9401.9
325,GA,9345,9379.8
326,GA,9325,9370.4
327,GA,9325,9377.8
328,GA,9325,9357.9
329,GA,9325,9343.0
330,GA,9325,9356.5
331,GA,9245,9345.2
332,GA,9245,9330.4
333,GA,9245,9284.1
334,GA,9245,9278.0
335,GA,9245,9272.2
336,GA,9245,9264.2
337,GA,9245,9278.5
338,GA,9245,9287.1
339,GA,9245,9262.9
340,GA,9245,9273.7
341,GA,9245,9264.8
342,GA,9245,9263.3
343,GA,9245,9272.2
344,GA,9245,9271.0
345,GA,9245,9269.8
346,GA,9245,9271.8
347,GA,9245,9273.5
348,GA,9245,9265.4
349,GA,9245,9276.7
350,GA,9245,9271.3
351,GA,9245,9267.6
352,GA,9225,9271.2
353,GA,9225,9277.7
354,GA,9225,9257.5
355,GA,9225,9257.0
356,GA,9225,9259.7
357,GA,9225,9249.1
358,GA,9225,9250.4
359,GA,9225,9265.1
360,GA,9225,9252.1
361,GA,9225,9244.2
362,GA,9225,9249.1
363,GA,9225,9239.4
364,GA,9225,9262.8
365,GA,9225,9249.4
366,GA,9225,9249.5
367,GA,9225,9248.6
368,GA,9225,9250.8
369,GA,9225,9254.2
370,GA,9225,9241.0
371,GA,9225,9251.3
372,GA,9225,9255.5
373,GA,9225,9259.8
374,GA,9225,9249.4
375,GA,9225,9255.7
376,GA,9225,9243.6
377,GA,9225,9248.8
378,GA,9225,9242.4
379,GA,9225,9264.3
380,GA,9225,9254.4
381,GA,9225,9250.0
382,GA,9225,9257.2
383,GA,9225,9261.6
384,GA,9225,9259.0
385,GA,9225,9248.2
386,GA,9225,9264.0
387,GA,9225,9248.5
388,GA,9225,9241.4
389,GA,9225,9256.6
390,GA,9225,9255.0
391,GA,9225,9260.0
392,GA,9225,9264.4
393,GA,9225,9248.2
394,GA,9225,9249.0
395,GA,9225,9251.4
396,GA,9225,9250.2
397,GA,9225,9257.4
398,GA,9225,9244.8
399,GA,9225,9254.4
400,GA,9225,9257.9
401,GA,9225,9254.7
402,GA,9225,9256.8
403,GA,9225,9249.8
404,GA,9225,9246.4
405,GA,9225,9254.6
406,GA,9225,9260.6
407,GA,9225,9244.5
408,GA,9225,9249.8
409,GA,9225,9249.6
410,GA,9225,9255.5
411,GA,9225,9259.4
412,GA,9225,9249.3
413,GA,9225,9252.1
414,GA,9225,9259.4
415,GA,9205,9247.7
416,GA,9205,9256.0
417,GA,9185,9230.3
418,GA,9185,9232.7
419,GA,9165,9212.5
420,GA,9165,9212.1
421,GA,9165,9197.1
422,GA,9075,9190.8
423,GA,9075,9179.4
424,GA,9075,9126.2
425,GA,9075,9091.4
426,GA,9075,9102.2
427,GA,9075,9102.7
428,GA,9075,9101.5
429,GA,9075,9115.3
430,GA,9075,9099.3
431,GA,9075,9106.5
432,GA,9075,9104.4
433,GA,9075,9100.1
434,GA,9075,9112.9
435,GA,9075,9104.5
436,GA,9075,9117.3
437,GA,9075,9099.1
438,GA,9075,9104.6
439,GA,9075,9101.0
440,GA,9075,9114.4
441,GA,9075,9090.1
442,GA,9075,9118.0
443,GA,9075,9099.6
444,GA,9075,9091.8
445,GA,9075,9102.8
446,GA,9075,9100.0
447,GA,9075,9111.4
448,GA,9075,9107.3
449,GA,9075,9086.4
450,GA,9075,9107.7
451,GA,9075,9093.9
452,GA,9075,9101.8
453,GA,9055,9090.9
454,GA,9055,9105.4
455,GA,9055,9080.0
456,GA,9055,9077.3
457,GA,9055,9080.8
458,GA,9055,9081.3
459,GA,9055,9079.8
460,GA,9055,9079.1
461,GA,9055,9078.3
462,GA,9055,9080.0
463,GA,9055,9088.3
464,GA,9055,9069.3
465,GA,9055,9087.0
466,GA,9055,9082.8
467,GA,9055,9088.7
468,GA,9055,9087.4
469,GA,9055,9083.2
470,GA,9055,9084.0
