iterasi,method,best,avg
0,GWO,13920,16476.6
0,GA,13920,16476.6
1,GWO,12430,14312.6
1,GA,12430,14312.6
2,GWO,11480,13238.2
2,GA,11480,13238.2
3,GWO,11185,12613.8
3,GA,11185,12613.8
4,GWO,10760,11903.6
4,GA,10760,11903.6
5,GWO,10385,10969.0
5,GA,10385,10969.0
6,GWO,10070,10594.2
6,GA,10070,10594.2
7,GWO,9600,10165.8
7,GA,9600,10165.8
8,GWO,9305,9969.2
8,GA,9305,9969.2
9,GWO,9020,9598.0
9,GA,9020,9598.0
10,GWO,8995,9455.8
10,GA,8995,9455.8
11,GWO,8925,9279.2
11,GA,8925,9279.2
12,GWO,8930,9183.2
12,GA,8925,9183.2
13,GWO,8905,9188.4
13,GA,8905,9188.4
14,GWO,8770,9112.2
14,GA,8770,9112.2
15,GWO,8770,9032.0
15,GA,8770,9032.0
16,GWO,8820,8964.2
16,GA,8770,8964.2
17,GWO,8745,8909.8
17,GA,8745,8909.8
18,GWO,8670,8875.8
18,GA,8670,8875.8
19,GWO,8475,8799.0
19,GA,8475,8799.0
20,GWO,8385,8766.4
20,GA,8385,8766.4
21,GWO,8475,8758.2
21,GA,8385,8758.2
22,GWO,8435,8703.0
22,GA,8385,8703.0
23,GWO,8455,8614.4
23,GA,8385,8614.4
24,GWO,8135,8595.6
24,GA,8135,8595.6
25,GWO,8145,8571.2
25,GA,8135,8571.2
26,GWO,8150,8363.6
26,GA,8135,8363.6
27,GWO,7990,8276.8
27,GA,7990,8276.8
28,GWO,7990,8220.0
28,GA,7990,8220.0
29,GWO,7985,8234.4
29,GA,7985,8234.4
30,GWO,7905,8156.8
30,GA,7905,8156.8
31,GWO,7800,8114.0
31,GA,7800,8114.0
32,GWO,7750,8080.4
32,GA,7750,8080.4
33,GWO,7690,8015.6
33,GA,7690,8015.6
34,GWO,7700,7978.8
34,GA,7690,7978.8
35,GWO,7695,7886.4
35,GA,7690,7886.4
36,GWO,7610,7852.0
36,GA,7610,7852.0
37,GWO,7605,7802.4
37,GA,7605,7802.4
38,GWO,7440,7800.8
38,GA,7440,7800.8
39,GWO,7460,7772.6
39,GA,7440,7772.6
40,GWO,7460,7716.4
40,GA,7440,7716.4
41,GWO,7350,7598.6
41,GA,7350,7598.6
42,GWO,7300,7521.8
42,GA,7300,7521.8
43,GWO,7130,7501.4
43,GA,7130,7501.4
44,GWO,7185,7460.6
44,GA,7130,7460.6
45,GWO,7160,7410.0
45,GA,7130,7410.0
46,GWO,7155,7354.0
46,GA,7130,7354.0
47,GWO,7095,7289.6
47,GA,7095,7289.6
48,GWO,7045,7238.6
48,GA,7045,7238.6
49,GWO,7015,7170.8
49,GA,7015,7170.8
50,GWO,7005,7139.4
50,GA,7005,7139.4
51,GWO,6855,7114.6
51,GA,6855,7114.6
52,GWO,6940,7078.0
52,GA,6855,7078.0
53,GWO,6905,7067.6
53,GA,6855,7067.6
54,GWO,6895,7034.2
54,GA,6855,7034.2
55,GWO,6740,7009.0
55,GA,6740,7009.0
56,GWO,6600,6982.0
56,GA,6600,6982.0
57,GWO,6550,6893.6
57,GA,6550,6893.6
58,GWO,6410,6845.6
58,GA,6410,6845.6
59,GWO,6430,6734.0
59,GA,6410,6734.0
60,GWO,6440,6646.8
60,GA,6410,6646.8
61,GWO,6430,6602.6
61,GA,6410,6602.6
62,GWO,6385,6551.6
62,GA,6385,6551.6
63,GWO,6370,6545.8
63,GA,6370,6545.8
64,GWO,6200,6511.2
64,GA,6200,6511.2
65,GWO,6200,6430.6
65,GA,6200,6430.6
66,GWO,6175,6409.8
66,GA,6175,6409.8
67,GWO,6205,6386.0
67,GA,6175,6386.0
68,GWO,6155,6383.6
68,GA,6155,6383.6
69,GWO,6075,6337.8
69,GA,6075,6337.8
70,GWO,6140,6309.4
70,GA,6075,6309.4
71,GWO,6050,6268.4
71,GA,6050,6268.4
72,GWO,6050,6252.0
72,GA,6050,6252.0
73,GWO,6025,6192.0
73,GA,6025,6192.0
74,GWO,5990,6156.2
74,GA,5990,6156.2
75,GWO,5945,6161.2
75,GA,5945,6161.2
76,GWO,5865,6094.0
76,GA,5865,6094.0
77,GWO,5845,6042.6
77,GA,5845,6042.6
78,GWO,5830,6038.2
78,GA,5830,6038.2
79,GWO,5835,6034.0
79,GA,5830,6034.0
80,GWO,5845,6000.2
80,GA,5830,6000.2
81,GWO,5835,5982.2
81,GA,5830,5982.2
82,GWO,5755,5909.6
82,GA,5755,5909.6
83,GWO,5735,5921.4
