iterasi,method,best,avg
0,GA,16420,17950.333333333332
1,GA,14025,15073.666666666666
2,GA,12705,13406.666666666666
3,GA,11470,12305.666666666666
4,GA,10710,11595.666666666666
5,GA,10380,10849.666666666666
6,GA,10035,10417.333333333334
7,GA,9485,9999.666666666666
8,GA,9345,9764.0
9,GA,9075,9533.0
10,GA,9030,9310.333333333334
11,GA,8805,9236.333333333334
12,GA,8670,9084.333333333334
13,GA,8540,9183.333333333334
14,GA,8540,8923.0
15,GA,8540,8829.333333333334
16,GA,8540,8753.666666666666
17,GA,8515,8731.0
18,GA,8435,8723.333333333334
19,GA,8375,8683.333333333334
20,GWO,8255,8508.0
20,GWO,8255,8481.0
20,GWO,8250,8471.666666666666
20,GWO,8235,8447.333333333334
20,GWO,8205,8423.0
20,GWO,8205,8418.0
20,GWO,8205,8402.666666666666
20,GWO,8205,8396.333333333334
20,GWO,8205,8389.333333333334
20,GWO,8180,8381.666666666666
20,GWO,8180,8377.666666666666
20,GWO,8130,8351.333333333334
20,GWO,8130,8349.333333333334
20,GWO,8130,8341.333333333334
20,GWO,8130,8339.333333333334
20,GWO,8130,8335.0
20,GWO,8130,8324.333333333334
20,GWO,8130,8318.333333333334
20,GWO,8115,8312.333333333334
20,GWO,8115,8306.0
20,GA,8115,8306.0
21,GA,8115,8269.333333333334
22,GA,8045,8242.666666666666
23,GA,7975,8194.666666666666
24,GA,7900,8131.666666666667
25,GA,7900,8145.333333333333
26,GA,7900,8099.666666666667
27,GA,7900,8093.333333333333
28,GA,7810,8053.666666666667
29,GA,7745,7956.333333333333
30,GA,7625,7881.333333333333
31,GA,7625,7805.666666666667
32,GA,7625,7825.333333333333
33,GA,7625,7850.0
34,GA,7575,7823.333333333333
35,GA,7555,7765.666666666667
36,GA,7555,7713.0
37,GA,7495,7676.666666666667
38,GA,7495,7693.333333333333
39,GA,7495,7663.666666666667
40,GWO,7555,7696.666666666667
40,GWO,7465,7673.666666666667
40,GWO,7465,7654.333333333333
40,GWO,7465,7634.0
40,GWO,7465,7623.333333333333
40,GWO,7465,7619.0
40,GWO,7465,7610.0
40,GWO,7390,7598.666666666667
40,GWO,7390,7590.666666666667
40,GWO,7390,7588.0
40,GWO,7390,7581.666666666667
40,GWO,7390,7581.666666666667
40,GWO,7390,7577.333333333333
40,GWO,7390,7577.333333333333
40,GWO,7390,7573.333333333333
40,GWO,7390,7571.333333333333
40,GWO,7390,7562.666666666667
40,GWO,7390,7560.0
40,GWO,7390,7555.333333333333
40,GWO,7390,7550.666666666667
40,GA,7390,7550.666666666667
41,GA,7390,7633.666666666667
42,GA,7350,7641.0
43,GA,7350,7526.0
44,GA,7080,7476.333333333333
45,GA,7060,7346.0
46,GA,7060,7268.333333333333
47,GA,7060,7199.333333333333
48,GA,7060,7179.666666666667
49,GA,7040,7182.333333333333
50,GA,6970,7136.666666666667
51,GA,6905,7077.0
52,GA,6875,7067.666666666667
53,GA,6830,7060.333333333333
54,GA,6820,7001.0
55,GA,6795,7000.333333333333
56,GA,6795,6966.0
57,GA,6795,6981.0
58,GA,6795,6998.0
59,GA,6710,6983.0
60,GWO,6690,6954.333333333333
60,GWO,6690,6927.666666666667
60,GWO,6690,6915.666666666667
60,GWO,6690,6910.333333333333
60,GWO,6645,6900.666666666667
60,GWO,6645,6898.0
60,GWO,6645,6890.0
60,GWO,6645,6888.333333333333
60,GWO,6630,6881.333333333333
60,GWO,6630,6876.0
60,GWO,6630,6874.333333333333
60,GWO,6630,6873.666666666667
60,GWO,6630,6870.333333333333
60,GWO,6630,6862.0
60,GWO,6630,6855.333333333333
60,GWO,6630,6852.0
60,GWO,6630,6849.333333333333
60,GWO,6630,6841.333333333333
60,GWO,6610,6829.666666666667
60,GWO,6610,6829.666666666667
60,GA,6610,6829.666666666667
61,GA,6610,6838.666666666667
62,GA,6610,6782.0
63,GA,6610,6801.0
64,GA,6565,6799.333333333333
65,GA,6565,6737.333333333333
66,GA,6395,6712.333333333333
67,GA,6395,6669.333333333333
68,GA,6395,6671.666666666667
69,GA,6395,6647.0
70,GA,6395,6656.333333333333
71,GA,6395,6697.0
72,GA,6395,6703.333333333333
73,GA,6395,6605.666666666667
74,GA,6395,6630.333333333333
75,GA,6395,6573.333333333333
76,GA,6395,6572.333333333333
77,GA,6395,6558.666666666667
78,GA,6395,6558.666666666667
79,GA,6395,6562.666666666667
80,GWO,6360,6575.666666666667
80,GWO,6360,6562.333333333333
80,GWO,6360,6539.666666666667
80,GWO,6335,6521.0
80,GWO,6335,6517.666666666667
80,GWO,6335,6516.333333333333
80,GWO,6335,6513.666666666667
80,GWO,6335,6511.0
80,GWO,6295,6507.0
80,GWO,6295,6503.666666666667
80,GWO,6295,6499.0
80,GWO,6295,6492.333333333333
80,GWO,6295,6492.333333333333
80,GWO,6295,6486.0
80,GWO,6295,6481.333333333333
80,GWO,6295,6480.0
80,GWO,6290,6474.0
80,GWO,6290,6474.0
80,GWO,6290,6470.666666666667
80,GWO,6290,6469.666666666667
80,GA,6290,6469.666666666667
81,GA,6280,6452.666666666667
82,GA,6280,6523.0
83,GA,6280,6458.333333333333
84,GA,6150,6444.666666666667
85,GA,6150,6403.0
86,GA,6150,6334.666666666667
87,GA,6110,6248.0
88,GA,6050,6204.666666666667
89,GA,6010,6211.333333333333
90,GA,6010,6182.0
91,GA,6010,6141.666666666667
92,GA,6010,6175.333333333333
93,GA,6010,6113.333333333333
94,GA,6010,6175.0
95,GA,5970,6156.333333333333
96,GA,5970,6197.0
97,GA,5970,6182.333333333333
98,GA,5970,6187.0
99,GA,5970,6189.0
100,GWO,6075,6168.0
100,GWO,6075,6158.0
100,GWO,5985,6134.666666666667
100,GWO,5985,6130.0
100,GWO,5940,6116.666666666667
100,GWO,5940,6102.333333333333
100,GWO,5940,6101.0
100,GWO,5940,6097.0
100,GWO,5940,6090.333333333333
100,GWO,5940,6090.333333333333
100,GWO,5940,6088.666666666667
100,GWO,5940,6088.666666666667
100,GWO,5940,6086.333333333333
100,GWO,5940,6082.333333333333
100,GWO,5940,6077.666666666667
100,GWO,5940,6073.666666666667
100,GWO,5940,6072.333333333333
100,GWO,5940,6071.0
100,GWO,5940,6069.666666666667
100,GWO,5940,6058.333333333333
100,GA,5940,6058.333333333333
101,GA,5940,6104.666666666667
102,GA,5905,6104.0
103,GA,5905,6040.0
104,GA,5865,6035.666666666667
105,GA,5840,6045.0
106,GA,5840,6022.0
107,GA,5840,6072.333333333333
108,GA,5765,6064.666666666667
109,GA,5765,6050.0
110,GA,5735,5988.666666666667
111,GA,5735,5931.666666666667
112,GA,5735,5941.0
113,GA,5725,5918.666666666667
114,GA,5705,5876.666666666667
115,GA,5700,5849.333333333333
116,GA,5685,5798.666666666667
117,GA,5675,5789.333333333333
118,GA,5675,5811.0
119,GA,5675,5809.666666666667
120,GWO,5675,5806.333333333333
120,GWO,5675,5801.0
120,GWO,5675,5797.0
120,GWO,5675,5789.666666666667
120,GWO,5675,5782.333333333333
120,GWO,5675,5774.333333333333
120,GWO,5675,5771.0
120,GWO,5675,5765.333333333333
120,GWO,5640,5761.333333333333
120,GWO,5580,5754.666666666667
120,GWO,5580,5750.666666666667
120,GWO,5580,5746.0
120,GWO,5580,5743.333333333333
120,GWO,5580,5742.666666666667
120,GWO,5580,5741.333333333333
120,GWO,5580,5738.666666666667
120,GWO,5580,5732.666666666667
120,GWO,5580,5728.0
120,GWO,5560,5722.666666666667
120,GWO,5560,5722.0
120,GA,5560,5722.0
121,GA,5545,5715.0
122,GA,5545,5715.0
123,GA,5495,5688.333333333333
124,GA,5495,5669.0
125,GA,5415,5636.666666666667
126,GA,5415,5557.666666666667
127,GA,5310,5506.0
128,GA,5200,5482.333333333333
129,GA,5200,5381.0
130,GA,5190,5326.0
131,GA,5190,5341.0
132,GA,5090,5292.333333333333
133,GA,5090,5256.0
134,GA,4990,5268.333333333333
135,GA,4870,5180.0
136,GA,4870,5109.0
137,GA,4870,5089.333333333333
138,GA,4820,5042.333333333333
139,GA,4820,4963.666666666667
140,GWO,4840,4951.0
140,GWO,4840,4941.0
140,GWO,4830,4934.333333333333
140,GWO,4830,4931.0
140,GWO,4830,4923.0
140,GWO,4830,4921.0
140,GWO,4830,4921.0
140,GWO,4830,4919.666666666667
140,GWO,4830,4917.0
140,GWO,4760,4909.0
140,GWO,4760,4907.666666666667
140,GWO,4760,4907.666666666667
140,GWO,4760,4905.333333333333
140,GWO,4760,4905.333333333333
140,GWO,4760,4904.0
140,GWO,4760,4903.333333333333
140,GWO,4760,4896.666666666667
140,GWO,4760,4896.666666666667
140,GWO,4760,4891.333333333333
140,GWO,4760,4891.333333333333
140,GA,4760,4891.333333333333
141,GA,4760,4942.666666666667
142,GA,4760,4903.666666666667
143,GA,4760,4915.0
144,GA,4760,4926.0
145,GA,4760,4916.666666666667
146,GA,4760,4925.333333333333
147,GA,4750,4903.333333333333
148,GA,4740,4928.333333333333
149,GA,4710,4895.333333333333
150,GA,4690,4862.666666666667
151,GA,4690,4867.0
152,GA,4650,4844.0
153,GA,4650,4819.333333333333
154,GA,4645,4761.333333333333
155,GA,4565,4774.666666666667
156,GA,4545,4726.333333333333
157,GA,4545,4730.0
158,GA,4545,4755.333333333333
159,GA,4545,4687.666666666667
160,GWO,4550,4691.333333333333
160,GWO,4550,4682.333333333333
160,GWO,4550,4677.333333333333
160,GWO,4550,4676.0
160,GWO,4550,4671.333333333333
160,GWO,4530,4666.666666666667
160,GWO,4530,4660.666666666667
160,GWO,4530,4655.333333333333
160,GWO,4530,4653.0
160,GWO,4530,4641.333333333333
160,GWO,4530,4640.0
160,GWO,4530,4640.0
160,GWO,4530,4640.0
160,GWO,4530,4638.666666666667
160,GWO,4530,4636.333333333333
160,GWO,4530,4636.333333333333
160,GWO,4530,4636.333333333333
160,GWO,4525,4635.0
160,GWO,4525,4634.333333333333
160,GWO,4470,4627.0
160,GA,4470,4627.0
161,GA,4470,4609.666666666667
162,GA,4470,4576.0
163,GA,4460,4572.333333333333
164,GA,4460,4560.0
165,GA,4445,4541.666666666667
166,GA,4445,4506.333333333333
167,GA,4445,4547.333333333333
168,GA,4445,4560.666666666667
169,GA,4445,4567.0
170,GA,4445,4567.333333333333
171,GA,4445,4581.666666666667
172,GA,4445,4595.0
173,GA,4445,4616.0
174,GA,4445,4575.0
175,GA,4435,4575.666666666667
176,GA,4435,4557.0
177,GA,4435,4566.0
178,GA,4435,4580.666666666667
179,GA,4435,4558.666666666667
180,GWO,4415,4545.333333333333
180,GWO,4415,4538.0
180,GWO,4415,4524.0
180,GWO,4415,4523.333333333333
180,GWO,4415,4523.333333333333
180,GWO,4415,4512.0
180,GWO,4325,4493.333333333333
180,GWO,4325,4482.666666666667
180,GWO,4325,4482.666666666667
180,GWO,4325,4482.666666666667
180,GWO,4325,4476.333333333333
180,GWO,4325,4476.333333333333
180,GWO,4325,4475.0
180,GWO,4325,4475.0
180,GWO,4325,4475.0
180,GWO,4325,4473.0
180,GWO,4325,4473.0
180,GWO,4325,4473.0
180,GWO,4325,4473.0
180,GWO,4325,4473.0
180,GA,4325,4473.0
181,GA,4325,4500.0
182,GA,4325,4460.333333333333
183,GA,4325,4416.333333333333
184,GA,4325,4452.333333333333
185,GA,4325,4451.0
186,GA,4320,4449.0
187,GA,4310,4392.0
188,GA,4305,4412.333333333333
189,GA,4305,4406.333333333333
190,GA,4305,4400.666666666667
191,GA,4305,4422.0
192,GA,4305,4420.666666666667
193,GA,4305,4429.0
194,GA,4305,4438.333333333333
195,GA,4305,4409.666666666667
196,GA,4305,4395.333333333333
197,GA,4305,4447.0
198,GA,4305,4412.666666666667
199,GA,4305,4440.333333333333
200,GWO,4325,4469.0
200,GWO,4325,4462.333333333333
200,GWO,4325,4451.0
200,GWO,4325,4439.0
200,GWO,4325,4435.0
200,GWO,4325,4433.333333333333
200,GWO,4325,4425.333333333333
200,GWO,4310,4419.0
200,GWO,4310,4411.666666666667
200,GWO,4310,4411.666666666667
200,GWO,4310,4411.333333333333
200,GWO,4310,4410.666666666667
200,GWO,4310,4410.666666666667
200,GWO,4310,4410.666666666667
200,GWO,4310,4410.333333333333
200,GWO,4310,4410.333333333333
200,GWO,4310,4410.333333333333
200,GWO,4310,4410.333333333333
200,GWO,4310,4410.333333333333
200,GWO,4310,4402.333333333333
200,GA,4305,4402.333333333333
201,GA,4290,4435.0
202,GA,4290,4394.333333333333
203,GA,4290,4401.666666666667
204,GA,4290,4361.0
205,GA,4290,4363.666666666667
206,GA,4290,4365.666666666667
207,GA,4290,4354.0
208,GA,4290,4346.666666666667
209,GA,4290,4400.333333333333
210,GA,4290,4390.666666666667
211,GA,4290,4432.666666666667
212,GA,4290,4396.666666666667
213,GA,4280,4362.333333333333
214,GA,4280,4394.0
215,GA,4270,4369.0
216,GA,4270,4384.0
217,GA,4270,4360.0
218,GA,4270,4385.0
219,GA,4270,4383.666666666667
220,GWO,4280,4375.0
220,GWO,4280,4372.333333333333
220,GWO,4280,4366.0
220,GWO,4280,4365.0
220,GWO,4280,4363.0
220,GWO,4255,4356.333333333333
220,GWO,4255,4356.333333333333
220,GWO,4255,4356.333333333333
220,GWO,4255,4347.0
220,GWO,4255,4345.666666666667
220,GWO,4255,4345.666666666667
220,GWO,4255,4343.0
220,GWO,4255,4343.0
220,GWO,4255,4343.0
220,GWO,4255,4343.0
220,GWO,4255,4343.0
220,GWO,4255,4343.0
220,GWO,4255,4343.0
220,GWO,4255,4341.666666666667
220,GWO,4255,4341.333333333333
220,GA,4255,4341.333333333333
221,GA,4235,4383.0
222,GA,4235,4389.333333333333
223,GA,4235,4378.0
224,GA,4235,4344.333333333333
225,GA,4235,4363.333333333333
226,GA,4235,4352.0
227,GA,4235,4374.666666666667
228,GA,4170,4352.0
229,GA,4170,4350.0
230,GA,4170,4320.0
231,GA,4170,4312.0
232,GA,4170,4305.0
233,GA,4165,4264.0
234,GA,4165,4244.333333333333
235,GA,4165,4238.666666666667
236,GA,4165,4257.333333333333
237,GA,4145,4244.0
238,GA,4140,4255.333333333333
239,GA,4140,4285.333333333333
240,GWO,4145,4281.333333333333
240,GWO,4145,4275.333333333333
240,GWO,4145,4254.333333333333
240,GWO,4145,4254.333333333333
240,GWO,4145,4254.333333333333
240,GWO,4145,4254.333333333333
240,GWO,4145,4252.333333333333
240,GWO,4145,4247.666666666667
240,GWO,4145,4232.333333333333
240,GWO,4145,4232.333333333333
240,GWO,4145,4232.333333333333
240,GWO,4145,4232.333333333333
240,GWO,4145,4232.333333333333
240,GWO,4145,4232.333333333333
240,GWO,4145,4232.333333333333
240,GWO,4145,4231.666666666667
240,GWO,4145,4231.666666666667
240,GWO,4145,4230.333333333333
240,GWO,4145,4230.333333333333
240,GWO,4145,4230.0
240,GA,4140,4230.0
241,GA,4140,4260.0
242,GA,4140,4224.666666666667
243,GA,4140,4257.333333333333
244,GA,4140,4298.333333333333
245,GA,4140,4321.666666666667
246,GA,4140,4306.333333333333
247,GA,4140,4301.333333333333
248,GA,4140,4260.333333333333
249,GA,4140,4289.0
250,GA,4140,4236.666666666667
251,GA,4140,4293.0
252,GA,4140,4303.333333333333
253,GA,4140,4342.333333333333
254,GA,4140,4310.666666666667
255,GA,4140,4282.333333333333
256,GA,4140,4317.333333333333
257,GA,4140,4301.0
258,GA,4140,4297.333333333333
259,GA,4140,4322.333333333333
260,GWO,4205,4277.666666666667
260,GWO,4205,4277.333333333333
260,GWO,4205,4276.0
260,GWO,4205,4276.0
260,GWO,4205,4266.333333333333
260,GWO,4205,4266.333333333333
260,GWO,4205,4266.333333333333
260,GWO,4205,4266.0
260,GWO,4205,4265.333333333333
260,GWO,4205,4264.333333333333
260,GWO,4205,4263.0
260,GWO,4205,4261.666666666667
260,GWO,4205,4261.666666666667
260,GWO,4205,4261.666666666667
260,GWO,4205,4261.666666666667
260,GWO,4205,4260.333333333333
260,GWO,4205,4259.666666666667
260,GWO,4205,4259.666666666667
260,GWO,4205,4259.333333333333
260,GWO,4205,4258.666666666667
260,GA,4140,4258.666666666667
261,GA,4140,4293.0
